City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,mountain home,43.133,-115.6912,3.57,48,0,4.12,US,1698542973
230,moyynkum,44.2914,72.9469,15.46,53,100,3.22,KZ,1698542974
231,turpan,42.9333,89.1667,13.52,43,73,1.6,CN,1698542974
232,bodo,67.28,14.405,-1.98,93,0,5.14,NO,1698542974
233,bechar,31.6167,-2.2167,22.18,18,0,2.57,DZ,1698542975
234,baicheng,45.6167,122.8167,10.02,33,17,5.28,CN,1698542975
235,komsomolets,53.7453,62.0708,-0.83,95,100,3.65,KZ,1698542975
236,cherokee,34.2668,-84.4499,21.66,76,0,2.57,US,1698542721
237,las vegas,36.175,-115.1372,21.38,12,0,9.39,US,1698542781
238,coihueco,-36.6167,-71.8333,8.41,87,100,3.09,CL,1698542816
239,kalmunai,7.4167,81.8167,25.57,82,70,1.51,LK,1698542976
240,sallisaw,35.4604,-94.7875,15.5,97,100,2.57,US,1698542976
241,ebon,4.582,168.6964,28.65,75,20,5.08,MH,1698542977
242,inverloch,-38.6333,145.7167,15.88,60,8,2.91,AU,1698542977
243,malanje,-9.5402,16.341,17.79,89,97,0.71,AO,1698542977
244,palora,-1.7,-77.9333,19.99,98,96,1.41,EC,1698542977
245,pelabuhanratu,-6.9875,106.5514,28.28,67,15,1.15,ID,1698542978
246,bo rai,12.5728,102.5371,26.85,86,56,0.63,TH,1698542978
247,konakovo,56.7,36.7667,-2.71,81,100,2.82,RU,1698542978
248,mae hong son,19.3003,97.9685,24.08,88,75,0.0,TH,1698542978
249,steinkjer,64.193,11.3851,-4.48,74,94,1.96,NO,1698542979
250,orchha,25.35,78.65,20.84,37,100,2.07,IN,1698542979
251,olinda,-8.0089,-34.8553,26.85,74,40,6.17,BR,1698542979
252,kristiansund,63.1115,7.732,-1.64,74,1,1.54,NO,1698542979
253,santa barbara,34.7333,-120.0343,17.1,67,0,4.12,US,1698542742
254,pundong,-7.9522,110.3486,29.23,60,14,3.39,ID,1698542980
255,springs,-26.25,28.4,17.04,60,36,1.89,ZA,1698542980
256,vila velha,-20.3297,-40.2925,25.97,83,75,4.63,BR,1698542980
257,nagqu,31.5,92.0,-5.64,59,100,1.18,CN,1698542981
258,zeya,53.75,127.2667,-1.4,72,100,2.86,RU,1698542981
259,bodaybo,57.8506,114.1933,-6.97,72,24,2.39,RU,1698542981
260,belmonte,-15.8631,-38.8828,25.06,80,99,5.03,BR,1698542981
261,cabo san lucas,22.8909,-109.9124,25.9,69,0,5.14,MX,1698542982
262,gizo,-8.103,156.8419,28.47,76,72,3.36,SB,1698542982
263,reyes,-14.3167,-67.3833,26.35,76,90,1.43,BO,1698542982
264,rio grande,-32.035,-52.0986,21.08,93,100,3.26,BR,1698542982
265,miri,4.4148,114.0089,29.08,79,40,1.54,MY,1698542983
266,oyon,-10.6681,-76.7731,8.62,88,100,2.27,PE,1698542983
267,iskateley,67.6803,53.1512,-12.21,90,100,3.58,RU,1698542983
268,la'ie,21.6477,-157.9253,29.66,64,26,1.34,US,1698542983
269,arkalyk,50.2486,66.9114,4.0,98,100,5.89,KZ,1698542983
270,lazaro cardenas,17.9583,-102.2,26.93,83,99,2.67,MX,1698542984
271,khandud,36.9513,72.318,2.9,53,100,1.64,AF,1698542984
272,st. john's,47.5649,-52.7093,13.32,89,75,10.29,CA,1698542932
273,zuera,41.8677,-0.7898,18.93,63,100,2.31,ES,1698542985
274,whitehorse,60.7161,-135.0538,-3.83,92,100,6.17,CA,1698542722
275,spring creek,40.7266,-115.5859,1.83,32,3,4.0,US,1698542985
276,mermoz boabab,14.7065,-17.4758,27.88,83,0,2.06,SN,1698542985
277,puerto ayacucho,5.6639,-67.6236,25.71,87,98,1.87,VE,1698542985
278,kruisfontein,-34.0033,24.7314,10.39,57,92,2.08,ZA,1698542986
279,uacu cungo,-11.3634,15.1208,17.2,78,86,0.74,AO,1698542986
280,ancud,-41.8697,-73.8203,7.82,85,100,10.78,CL,1698542986
281,vryburg,-26.9566,24.7284,11.85,53,0,8.17,ZA,1698542986
282,idfu,24.9803,32.8747,26.01,41,0,2.32,EG,1698542986
283,chadron,42.8294,-102.9999,-4.18,74,100,0.0,US,1698542987
284,holualoa,19.6228,-155.9522,26.91,82,20,5.66,US,1698542987
285,susuman,62.7833,148.1667,-14.45,96,91,0.89,RU,1698542987
286,boende,-0.2167,20.8667,21.05,98,99,0.51,CD,1698542987
287,wynyard,-41.0,145.7167,13.27,57,62,3.95,AU,1698542987
288,senador guiomard,-10.1522,-67.7392,27.86,70,73,2.4,BR,1698542988
289,les cayes,18.2,-73.75,26.5,76,77,1.52,HT,1698542988
290,funadhoo,6.15,73.2667,27.96,77,98,2.85,MV,1698542988
291,antofagasta,-23.65,-70.4,16.6,85,56,2.66,CL,1698543119
292,sao joao da barra,-21.6403,-41.0511,23.71,92,100,8.87,BR,1698542937
293,severo-yeniseyskiy,60.3725,93.0408,-9.12,81,100,7.15,RU,1698542989
294,matoury,4.8483,-52.3317,26.98,89,0,2.57,GF,1698542989
295,tionk essil,12.7856,-16.5217,25.03,75,7,2.19,SN,1698542989
296,otjimbingwe,-22.35,16.1333,19.62,31,26,0.89,NA,1698542990
297,omdurman,15.6445,32.4777,27.86,52,19,5.45,SD,1698542990
298,fortuna,40.5982,-124.1573,13.19,81,0,4.12,US,1698542990
299,kidal,18.4411,1.4078,27.64,11,6,2.8,ML,1698542990
300,galliano,29.4422,-90.2992,24.0,78,0,1.54,US,1698542990
301,carnarvon,-24.8667,113.6333,21.89,50,0,10.53,AU,1698542991
302,tondi,9.7333,79.0167,26.6,81,100,2.67,IN,1698542991
303,brisas de zicatela,15.8369,-97.0419,28.29,54,75,4.12,MX,1698542991
304,kitimat,54.0524,-128.6534,2.73,72,96,0.48,CA,1698542991
305,trenton,40.217,-74.7429,23.39,82,0,0.45,US,1698542992
306,burang,30.25,81.1667,0.91,52,3,1.1,CN,1698542992
307,saldanha,-33.0117,17.9442,12.03,66,0,7.88,ZA,1698542992
308,mugia,43.1041,-9.2179,16.76,75,73,12.62,ES,1698542992
309,vorgashor,67.5833,63.95,-17.29,100,100,1.82,RU,1698542992
310,ust-nera,64.5667,143.2,-13.3,96,65,1.05,RU,1698542993
311,eloy alfaro,-2.2,-79.8333,24.03,88,100,3.09,EC,1698542993
312,fortaleza,-3.7227,-38.5247,28.37,71,20,7.72,BR,1698542766
313,zaragoza,41.6561,-0.8773,19.45,49,0,4.63,ES,1698542993
314,huntsville,34.7304,-86.5861,24.63,66,0,2.68,US,1698543401
315,azovo,54.6997,73.0237,-5.14,70,100,4.95,RU,1698542994
316,batouri,4.4333,14.3667,19.8,98,22,1.19,CM,1698542994
317,playa del ingles,27.7567,-15.5787,21.86,85,100,1.84,ES,1698542712
318,togur,58.3631,82.8265,-7.14,89,67,2.24,RU,1698542995
319,champerico,14.3,-91.9167,26.64,85,82,4.45,GT,1698542995
320,aldan,58.6031,125.3894,-6.18,95,100,2.46,RU,1698542995
321,aegina,37.7467,23.4275,23.26,76,100,5.18,GR,1698542995
322,kapuskasing,49.4169,-82.4331,-1.95,80,75,3.6,CA,1698542995
323,sitia,35.2,26.0986,22.21,83,21,1.52,GR,1698542996
324,masuguru,-11.3667,38.4167,24.24,79,99,2.25,TZ,1698542996
325,thunder bay,48.4001,-89.3168,0.99,64,100,3.09,CA,1698542996
326,kralendijk,12.15,-68.2667,27.99,83,20,1.54,BQ,1698542996
327,kolonia town,6.964,158.206,31.0,66,100,1.54,FM,1698542997
328,vilhena,-12.7406,-60.1458,22.01,88,65,1.26,BR,1698542997
329,sarakhs,36.5449,61.1577,19.8,36,0,1.45,IR,1698542997
330,vung tau,10.346,107.0843,28.08,77,100,3.32,VN,1698543405
331,koesan,36.8108,127.7947,12.55,67,0,1.11,KR,1698542998
332,richards bay,-28.783,32.0377,16.69,90,100,6.53,ZA,1698542998
333,kargopol',61.5071,38.9456,-3.17,96,100,1.21,RU,1698542998
334,nishinoomote,30.7333,131.0,21.31,60,40,3.09,JP,1698542998
335,kothen,51.75,11.9667,11.79,87,100,4.67,DE,1698542998
336,sitka,57.0531,-135.33,8.94,61,100,1.54,US,1698542999
337,prince rupert,54.3161,-130.3201,6.83,73,0,2.57,CA,1698542999
338,villa constitucion,-33.2278,-60.3297,23.88,74,0,2.44,AR,1698542999
339,iwakuni,34.15,132.1833,18.71,45,20,3.09,JP,1698542999
340,howrah,22.5892,88.3103,23.0,83,5,0.0,IN,1698543000
341,smithers,54.7804,-127.1743,-0.82,59,40,1.54,CA,1698543000
342,castillos,-34.1667,-53.8333,15.85,97,17,1.94,UY,1698543000
343,karungdong,5.8844,121.263,29.46,66,17,1.33,PH,1698543001
344,choele choel,-39.2667,-65.6833,14.88,43,17,10.27,AR,1698543001
345,fale old settlement,-9.3852,-171.2468,29.18,70,41,4.44,TK,1698543001
346,'alaqahdari dishu,30.4374,63.313,21.11,36,3,1.63,AF,1698543002
347,vilyuchinsk,52.9306,158.4028,3.85,62,100,0.94,RU,1698543003
348,vallenar,-28.5708,-70.7581,13.66,64,13,1.25,CL,1698543003
349,karlskrona,56.1616,15.5866,4.25,74,100,5.45,SE,1698543003
